,Gross domestic product 2016,,,,
,,,,,
,,,,(millions of,
,Ranking,,Economy,US dollars),
,,,,,
,,,,,
KGZ,147,,Kyrgyz Republic," 6,551 ",
GIN,148,,Guinea," 6,299 ",
SOM,149,,Somalia," 6,217 ",
GUM,150,,Guam," 5,734 ",
MWI,151,,Malawi," 5,442 ",
MRT,152,,Mauritania," 4,635 ",
FJI,153,,Fiji," 4,632 ",
BRB,154,,Barbados," 4,588 ",
TGO,155,,Togo," 4,400 ",
MNE,156,,Montenegro," 4,173 ",
VIR,157,,Virgin Islands (U.S.)," 3,765 ",
SWZ,158,,Swaziland," 3,727 ",
SLE,159,,Sierra Leone," 3,669 ",
SUR,160,,Suriname," 3,621 ",
MDV,161,,Maldives," 3,591 ",
GUY,162,,Guyana," 3,446 ",
BDI,163,,Burundi," 3,007 ",
BTN,164,,Bhutan," 2,237 ",
GRL,165,,Greenland," 2,220 ",
LSO,166,,Lesotho," 2,200 ",
LBR,167,,Liberia," 2,101 ",
BLZ,168,,Belize," 1,765 ",
CAF,169,,Central African Republic," 1,756 ",
DJI,170,,Djibouti," 1,727 ",
CPV,171,,Cabo Verde," 1,617 ",
ATG,172,,Antigua and Barbuda," 1,449 ",
TLS,173,,Timor-Leste," 1,442 ",
SYC,174,,Seychelles," 1,427 ",
LCA,175,,St. Lucia," 1,379 ",
SLB,176,,Solomon Islands," 1,202 ",
GNB,177,,Guinea-Bissau," 1,126 ",
GRD,178,,Grenada," 1,016 ",
GMB,179,,"Gambia, The", 965 ,
MNP,180,,Northern Mariana Islands, 922 ,
KNA,181,,St. Kitts and Nevis, 917 ,
WSM,182,,Samoa, 786 ,
VUT,183,,Vanuatu, 774 ,
VCT,184,,St. Vincent and the Grenadines, 771 ,
ASM,185,,American Samoa, 641 ,
COM,186,,Comoros, 617 ,
DMA,187,,Dominica, 525 ,
TON,188,,Tonga, 395 ,
STP,189,,São Tomé and Principe, 351 ,
FSM,190,,"Micronesia, Fed. Sts.", 322 ,
PLW,191,,Palau, 293 ,
MHL,192,,Marshall Islands, 183 ,
KIR,193,,Kiribati, 166 ,
NRU,194,,Nauru, 102 ,
TUV,195,,Tuvalu, 34 ,
,,,,,
AND,,,Andorra, .. ,
ABW,,,Aruba, .. ,
BMU,,,Bermuda, .. ,
VGB,,,British Virgin Islands, .. ,
CYM,,,Cayman Islands, .. ,
CHI,,,Channel Islands, .. ,
CUW,,,Curaçao, .. ,
ERI,,,Eritrea, .. ,
FRO,,,Faroe Islands, .. ,
PYF,,,French Polynesia, .. ,
GIB,,,Gibraltar, .. ,
PRK,,,"Korea, Dem. People's Rep.", .. ,
LBY,,,Libya, .. ,
MCO,,,Monaco, .. ,
NCL,,,New Caledonia, .. ,
PRI,,,Puerto Rico, .. ,
SMR,,,San Marino, .. ,
SXM,,,Sint Maarten (Dutch part), .. ,
MAF,,,St. Martin (French part), .. ,
SYR,,,Syrian Arab Republic, .. ,
TCA,,,Turks and Caicos Islands, .. ,
VEN,,,"Venezuela, RB", .. ,
,,,,,
,,,,,
WLD,,,World,"75,641,577",
,,,,,
EAS,,,East Asia & Pacific,"22,477,425",
ECS,,,Europe & Central Asia,"20,162,858",
LCN,,,Latin America & Caribbean,"5,294,928",
MEA,,,Middle East & North Africa,"3,111,499",
NAC,,,North America,"20,104,905",
SAS,,,South Asia,"2,896,361",
SSF,,,Sub-Saharan Africa,"1,498,001",
LIC,,,Low income,"405,501",
LMC,,,Lower middle income,"6,252,244",
UMC,,,Upper middle income,"20,570,823",
HIC,,,High income,"48,407,640",
,,,,,
,.. Not available.  ,,,,
,Note: Rankings include only those economies with confirmed GDP estimates. Figures in italics are for 2015 or 2014.,,,,
,"a. Based on data from official statistics of Ukraine and Russian Federation; by relying on these data, the World Bank does not intend to make any judgment on the legal or other status of the territories concerned or to prejudice the final determination of",,,,
,,,,,
,GDP data source: http://data.worldbank.org/data-catalog/world-development-indicators,,,,
,GDP projections:  http://data.worldbank.org/data-catalog/global-economic-prospects,,,,
